YUBIN_7,JYUSYO,JYUSYO2
"2260019","神奈川県横浜市緑区中山","1-1"
"2300000","神奈川県横浜市鶴見区以下に掲載がない場合","1-1"
"2300033","神奈川県横浜市鶴見区朝日町","1-1"
"2300035","神奈川県横浜市鶴見区安善町","1-1"
"2300021","神奈川県横浜市鶴見区市場上町","1-1"
"2300024","神奈川県横浜市鶴見区市場下町","1-1"
"2300022","神奈川県横浜市鶴見区市場東中町","1-1"
"2300023","神奈川県横浜市鶴見区市場西中町","1-1"
"2300026","神奈川県横浜市鶴見区市場富士見町","1-1"
"2300025","神奈川県横浜市鶴見区市場大和町","1-1"
"2300041","神奈川県横浜市鶴見区潮田町","1-1"
"2300002","神奈川県横浜市鶴見区江ケ崎町","1-1"
"2300055","神奈川県横浜市鶴見区扇島","1-1"
"2300046","神奈川県横浜市鶴見区小野町","1-1"
"2300072","神奈川県横浜市鶴見区梶山","1-1"
"2300011","神奈川県横浜市鶴見区上末吉","1-1"
"2300075","神奈川県横浜市鶴見区上の宮","1-1"
"2300034","神奈川県横浜市鶴見区寛政町","1-1"
"2300078","神奈川県横浜市鶴見区岸谷","1-1"
"2300074","神奈川県横浜市鶴見区北寺尾","1-1"
"2300071","神奈川県横浜市鶴見区駒岡","1-1"
"2300038","神奈川県横浜市鶴見区栄町通","1-1"
"2300043","神奈川県横浜市鶴見区汐入町","1-1"
"2300073","神奈川県横浜市鶴見区獅子ケ谷","1-1"
"2300047","神奈川県横浜市鶴見区下野谷町","1-1"
"2300003","神奈川県横浜市鶴見区尻手","1-1"
"2300012","神奈川県横浜市鶴見区下末吉","1-1"
"2300045","神奈川県横浜市鶴見区末広町","1-1"
"2300027","神奈川県横浜市鶴見区菅沢町","1-1"
"2300014","神奈川県横浜市鶴見区諏訪坂","1-1"
"2300053","神奈川県横浜市鶴見区大黒町","1-1"
"2300054","神奈川県横浜市鶴見区大黒ふ頭","1-1"
"2300032","神奈川県横浜市鶴見区大東町","1-1"
"2300061","神奈川県横浜市鶴見区佃野町","1-1"
"2300063","神奈川県横浜市鶴見区鶴見","1-1"
"2300051","神奈川県横浜市鶴見区鶴見中央","1-1"
"2300015","神奈川県横浜市鶴見区寺谷","1-1"
"2300062","神奈川県横浜市鶴見区豊岡町","1-1"
"2300042","神奈川県横浜市鶴見区仲通","1-1"
"2300052","神奈川県横浜市鶴見区生麦","1-1"
"2300076","神奈川県横浜市鶴見区馬場","1-1"
"2300036","神奈川県横浜市鶴見区浜町","1-1"
"2300077","神奈川県横浜市鶴見区東寺尾","1-1"
"2300017","神奈川県横浜市鶴見区東寺尾中台","1-1"
"2300018","神奈川県横浜市鶴見区東寺尾東台","1-1"
"2300016","神奈川県横浜市鶴見区東寺尾北台","1-1"
"2300031","神奈川県横浜市鶴見区平安町","1-1"
"2300044","神奈川県横浜市鶴見区弁天町","1-1"
"2300048","神奈川県横浜市鶴見区本町通","1-1"
"2300013","神奈川県横浜市鶴見区三ツ池公園","1-1"
"2300037","神奈川県横浜市鶴見区向井町","1-1"
"2300004","神奈川県横浜市鶴見区元宮","1-1"
"2300001","神奈川県横浜市鶴見区矢向","1-1"
"2210000","神奈川県横浜市神奈川区以下に掲載がない場合","1-1"
"2210057","神奈川県横浜市神奈川区青木町","1-1"
"2210814","神奈川県横浜市神奈川区旭ケ丘","1-1"
"2210032","神奈川県横浜市神奈川区出田町","1-1"
"2210842","神奈川県横浜市神奈川区泉町","1-1"
"2210014","神奈川県横浜市神奈川区入江","1-1"
"2210062","神奈川県横浜市神奈川区浦島丘","1-1"
"2210042","神奈川県横浜市神奈川区浦島町","1-1"
"2210024","神奈川県横浜市神奈川区恵比須町","1-1"
"2210002","神奈川県横浜市神奈川区大口通","1-1"
"2210003","神奈川県横浜市神奈川区大口仲町","1-1"
"2210055","神奈川県横浜市神奈川区大野町","1-1"
"2210865","神奈川県横浜市神奈川区片倉","1-1"
"2210045","神奈川県横浜市神奈川区神奈川","1-1"
"2210046","神奈川県横浜市神奈川区神奈川本町","1-1"
"2210831","神奈川県横浜市神奈川区上反町","1-1"
"2210011","神奈川県横浜市神奈川区神之木台","1-1"
"2210015","神奈川県横浜市神奈川区神之木町","1-1"
"2210041","神奈川県横浜市神奈川区亀住町","1-1"
"2210801","神奈川県横浜市神奈川区神大寺","1-1"
"2210832","神奈川県横浜市神奈川区桐畑","1-1"
"2210056","神奈川県横浜市神奈川区金港町","1-1"
"2210804","神奈川県横浜市神奈川区栗田谷","1-1"
"2206109","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（９階）","1-1"
"2206110","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１０階）","1-1"
"2206111","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１１階）","1-1"
"2206112","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１２階）","1-1"
"2206113","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１３階）","1-1"
"2206114","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１４階）","1-1"
"2206115","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１５階）","1-1"
"2206116","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１６階）","1-1"
"2310806","神奈川県横浜市中区本牧町","1-1"
"2310016","神奈川県横浜市中区真砂町","1-1"
"2310025","神奈川県横浜市中区松影町","1-1"
"2310838","神奈川県横浜市中区豆口台","1-1"
"2310017","神奈川県横浜市中区港町","1-1"
"2310006","神奈川県横浜市中区南仲通","1-1"
"2310816","神奈川県横浜市中区南本牧","1-1"
"2310856","神奈川県横浜市中区簑沢","1-1"
"2310065","神奈川県横浜市中区宮川町","1-1"
"2310841","神奈川県横浜市中区妙香寺台","1-1"
"2310034","神奈川県横浜市中区三吉町","1-1"
"2310849","神奈川県横浜市中区麦田町","1-1"
"2310004","神奈川県横浜市中区元浜町","1-1"
"2310861","神奈川県横浜市中区元町","1-1"
"2310831","神奈川県横浜市中区矢口台","1-1"
"2310023","神奈川県横浜市中区山下町","1-1"
"2310036","神奈川県横浜市中区山田町","1-1"
"2310862","神奈川県横浜市中区山手町","1-1"
"2310846","神奈川県横浜市中区大和町","1-1"
"2220033","神奈川県横浜市港北区新横浜","1-1"
"2230056","神奈川県横浜市港北区新吉田町","1-1"
"2230058","神奈川県横浜市港北区新吉田東","1-1"
"2230063","神奈川県横浜市港北区高田町","1-1"
"2230066","神奈川県横浜市港北区高田西","1-1"
"2230065","神奈川県横浜市港北区高田東","1-1"
"2220001","神奈川県横浜市港北区樽町","1-1"
"2230055","神奈川県横浜市港北区綱島上町","1-1"
"2230054","神奈川県横浜市港北区綱島台","1-1"
"2230052","神奈川県横浜市港北区綱島東","1-1"
"2230053","神奈川県横浜市港北区綱島西","1-1"
"2220035","神奈川県横浜市港北区鳥山町","1-1"
"2220023","神奈川県横浜市港北区仲手原","1-1"
"2220013","神奈川県横浜市港北区錦が丘","1-1"
"2230057","神奈川県横浜市港北区新羽町","1-1"
"2460031","神奈川県横浜市瀬谷区瀬谷","1-1"
"2460003","神奈川県横浜市瀬谷区瀬谷町","1-1"
"2460005","神奈川県横浜市瀬谷区竹村町","1-1"
"2460014","神奈川県横浜市瀬谷区中央","1-1"
"2460004","神奈川県横浜市瀬谷区中屋敷","1-1"
"2460037","神奈川県横浜市瀬谷区橋戸","1-1"
"2460021","神奈川県横浜市瀬谷区二ツ橋町","1-1"
"2460015","神奈川県横浜市瀬谷区本郷","1-1"
"2460022","神奈川県横浜市瀬谷区三ツ境","1-1"
"2460034","神奈川県横浜市瀬谷区南瀬谷","1-1"
"2460032","神奈川県横浜市瀬谷区南台","1-1"
"2460038","神奈川県横浜市瀬谷区宮沢","1-1"
"2460007","神奈川県横浜市瀬谷区目黒町","1-1"
"2206117","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１７階）","1-1"
"2206118","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１８階）","1-1"
"2206119","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１９階）","1-1"
"2206120","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２０階）","1-1"
"2206121","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２１階）","1-1"
"2206122","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２２階）","1-1"
"2206123","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２３階）","1-1"
"2206124","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２４階）","1-1"
"2206125","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２５階）","1-1"
"2206126","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２６階）","1-1"
"2310038","神奈川県横浜市中区山吹町","1-1"
"2310851","神奈川県横浜市中区山元町","1-1"
"2310058","神奈川県横浜市中区弥生町","1-1"
"2310022","神奈川県横浜市中区横浜公園","1-1"
"2310041","神奈川県横浜市中区吉田町","1-1"
"2310024","神奈川県横浜市中区吉浜町","1-1"
"2310056","神奈川県横浜市中区若葉町","1-1"
"2310805","神奈川県横浜市中区和田山","1-1"
"2320000","神奈川県横浜市南区以下に掲載がない場合","1-1"
"2320051","神奈川県横浜市南区井土ケ谷上町","1-1"
"2320052","神奈川県横浜市南区井土ケ谷中町","1-1"
"2320053","神奈川県横浜市南区井土ケ谷下町","1-1"
"2320024","神奈川県横浜市南区浦舟町","1-1"
"2320031","神奈川県横浜市南区永楽町","1-1"
"2320044","神奈川県横浜市南区榎町","1-1"
"2320061","神奈川県横浜市南区大岡","1-1"
"2470000","神奈川県横浜市栄区以下に掲載がない場合","1-1"
"2440842","神奈川県横浜市栄区飯島町","1-1"
"2470026","神奈川県横浜市栄区犬山町","1-1"
"2470027","神奈川県横浜市栄区尾月","1-1"
"2470006","神奈川県横浜市栄区笠間","1-1"
"2470009","神奈川県横浜市栄区鍛冶ケ谷","1-1"
"2470003","神奈川県横浜市栄区鍛冶ケ谷町","1-1"
"2470031","神奈川県横浜市栄区桂台北","1-1"
"2470034","神奈川県横浜市栄区桂台中","1-1"
"2470035","神奈川県横浜市栄区桂台西","1-1"
"2206127","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２７階）","1-1"
"2206128","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２８階）","1-1"
"2206290","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（地階・階層不明）","1-1"
"2206201","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１階）","1-1"
"2206202","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（２階）","1-1"
"2206203","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（３階）","1-1"
"2206204","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（４階）","1-1"
"2206205","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（５階）","1-1"
"2206206","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（６階）","1-1"
"2206207","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（７階）","1-1"
"2320054","神奈川県横浜市南区大橋町","1-1"
"2320008","神奈川県横浜市南区庚台","1-1"
"2320034","神奈川県横浜市南区唐沢","1-1"
"2320015","神奈川県横浜市南区共進町","1-1"
"2320067","神奈川県横浜市南区弘明寺町","1-1"
"2320013","神奈川県横浜市南区山王町","1-1"
"2320036","神奈川県横浜市南区山谷","1-1"
"2320007","神奈川県横浜市南区清水ケ丘","1-1"
"2320017","神奈川県横浜市南区宿町","1-1"
"2320005","神奈川県横浜市南区白金町","1-1"
"2320023","神奈川県横浜市南区白妙町","1-1"
"2320027","神奈川県横浜市南区新川町","1-1"
"2230061","神奈川県横浜市港北区日吉","1-1"
"2230062","神奈川県横浜市港北区日吉本町","1-1"
"2220012","神奈川県横浜市港北区富士塚","1-1"
"2220032","神奈川県横浜市港北区大豆戸町","1-1"
"2230051","神奈川県横浜市港北区箕輪町","1-1"
"2220002","神奈川県横浜市港北区師岡町","1-1"
"2440000","神奈川県横浜市戸塚区以下に掲載がない場合","1-1"
"2450052","神奈川県横浜市戸塚区秋葉町","1-1"
"2450064","神奈川県横浜市戸塚区影取町","1-1"
"2440812","神奈川県横浜市戸塚区柏尾町","1-1"
"2440811","神奈川県横浜市戸塚区上柏尾町","1-1"
"2440816","神奈川県横浜市戸塚区上倉田町","1-1"
"2470032","神奈川県横浜市栄区桂台東","1-1"
"2470033","神奈川県横浜市栄区桂台南","1-1"
"2470005","神奈川県横浜市栄区桂町","1-1"
"2440845","神奈川県横浜市栄区金井町","1-1"
"2470013","神奈川県横浜市栄区上郷町","1-1"
"2470025","神奈川県横浜市栄区上之町","1-1"
"2470028","神奈川県横浜市栄区亀井町","1-1"
"2470014","神奈川県横浜市栄区公田町","1-1"
"2470007","神奈川県横浜市栄区小菅ケ谷","1-1"
"2470001","神奈川県横浜市栄区小菅ケ谷町","1-1"
"2470002","神奈川県横浜市栄区小山台","1-1"
"2470022","神奈川県横浜市栄区庄戸","1-1"
"2206208","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（８階）","1-1"
"2206209","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（９階）","1-1"
"2206210","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１０階）","1-1"
"2206211","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１１階）","1-1"
"2206212","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１２階）","1-1"
"2206213","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１３階）","1-1"
"2206214","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１４階）","1-1"
"2206215","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１５階）","1-1"
"2206216","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１６階）","1-1"
"2206217","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１７階）","1-1"
"2206218","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１８階）","1-1"
"2206219","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１９階）","1-1"
"2320025","神奈川県横浜市南区高砂町","1-1"
"2320022","神奈川県横浜市南区高根町","1-1"
"2320056","神奈川県横浜市南区通町","1-1"
"2320063","神奈川県横浜市南区中里","1-1"
"2320062","神奈川県横浜市南区中里町","1-1"
"2320055","神奈川県横浜市南区中島町","1-1"
"2320033","神奈川県横浜市南区中村町","1-1"
"2320074","神奈川県横浜市南区永田山王台","1-1"
"2320076","神奈川県横浜市南区永田台","1-1"
"2440806","神奈川県横浜市戸塚区上品濃","1-1"
"2450053","神奈川県横浜市戸塚区上矢部町","1-1"
"2440805","神奈川県横浜市戸塚区川上町","1-1"
"2450061","神奈川県横浜市戸塚区汲沢","1-1"
"2450062","神奈川県横浜市戸塚区汲沢町","1-1"
"2440004","神奈川県横浜市戸塚区小雀町","1-1"
"2440801","神奈川県横浜市戸塚区品濃町","1-1"
"2440815","神奈川県横浜市戸塚区下倉田町","1-1"
"2440003","神奈川県横浜市戸塚区戸塚町","1-1"
"2440844","神奈川県横浜市栄区田谷町","1-1"
"2470015","神奈川県横浜市栄区中野町","1-1"
"2440843","神奈川県横浜市栄区長尾台町","1-1"
"2470023","神奈川県横浜市栄区長倉町","1-1"
"2440841","神奈川県横浜市栄区長沼町","1-1"
"2470024","神奈川県横浜市栄区野七里","1-1"
"2470004","神奈川県横浜市栄区柏陽","1-1"
"2470021","神奈川県横浜市栄区東上郷町","1-1"
"2470008","神奈川県横浜市栄区本郷台","1-1"
"2470011","神奈川県横浜市栄区元大橋","1-1"
"2470012","神奈川県横浜市栄区若竹町","1-1"
"2450000","神奈川県横浜市泉区以下に掲載がない場合","1-1"
"2450001","神奈川県横浜市泉区池の谷","1-1"
"2450022","神奈川県横浜市泉区和泉が丘","1-1"
"2450024","神奈川県横浜市泉区和泉中央北","1-1"
"2450023","神奈川県横浜市泉区和泉中央南","1-1"
"2450016","神奈川県横浜市泉区和泉町","1-1"
"2450003","神奈川県横浜市泉区岡津町","1-1"
"2450007","神奈川県横浜市泉区桂坂","1-1"
"2450018","神奈川県横浜市泉区上飯田町","1-1"
"2450017","神奈川県横浜市泉区下飯田町","1-1"
"2206220","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（２０階）","1-1"
"2206221","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（２１階）","1-1"
"2208190","神奈川県横浜市西区みなとみらいランドマークタワー（地階・階層不明）","1-1"
"2208101","神奈川県横浜市西区みなとみらいランドマークタワー（１階）","1-1"
"2208102","神奈川県横浜市西区みなとみらいランドマークタワー（２階）","1-1"
"2208103","神奈川県横浜市西区みなとみらいランドマークタワー（３階）","1-1"
"2208104","神奈川県横浜市西区みなとみらいランドマークタワー（４階）","1-1"
"2320075","神奈川県横浜市南区永田みなみ台","1-1"
"2320072","神奈川県横浜市南区永田東","1-1"
"2320073","神奈川県横浜市南区永田南","1-1"
"2320071","神奈川県横浜市南区永田北","1-1"
"2320003","神奈川県横浜市南区西中町","1-1"
"2320037","神奈川県横浜市南区八幡町","1-1"
"2320018","神奈川県横浜市南区花之木町","1-1"
"2320011","神奈川県横浜市南区日枝町","1-1"
"2320045","神奈川県横浜市南区東蒔田町","1-1"
"2320001","神奈川県横浜市南区伏見町","1-1"
"2320026","神奈川県横浜市南区二葉町","1-1"
"2320035","神奈川県横浜市南区平楽","1-1"
"2320064","神奈川県横浜市南区別所","1-1"
"2320065","神奈川県横浜市南区別所中里台","1-1"
"2320042","神奈川県横浜市南区堀ノ内町","1-1"
"2320043","神奈川県横浜市南区蒔田町","1-1"
"2320004","神奈川県横浜市南区前里町","1-1"
"2320021","神奈川県横浜市南区真金町","1-1"
"2440001","神奈川県横浜市戸塚区鳥が丘","1-1"
"2450051","神奈川県横浜市戸塚区名瀬町","1-1"
"2450063","神奈川県横浜市戸塚区原宿","1-1"
"2450065","神奈川県横浜市戸塚区東俣野町","1-1"
"2440802","神奈川県横浜市戸塚区平戸","1-1"
"2440803","神奈川県横浜市戸塚区平戸町","1-1"
"2450067","神奈川県横浜市戸塚区深谷町","1-1"
"2440813","神奈川県横浜市戸塚区舞岡町","1-1"
"2440804","神奈川県横浜市戸塚区前田町","1-1"
"2450066","神奈川県横浜市戸塚区俣野町","1-1"
"2440814","神奈川県横浜市戸塚区南舞岡","1-1"
"2210051","神奈川県横浜市神奈川区幸ケ谷","1-1"
"2210012","神奈川県横浜市神奈川区子安台","1-1"
"2210021","神奈川県横浜市神奈川区子安通","1-1"
"2210811","神奈川県横浜市神奈川区斎藤分町","1-1"
"2210052","神奈川県横浜市神奈川区栄町","1-1"
"2210844","神奈川県横浜市神奈川区沢渡","1-1"
"2210862","神奈川県横浜市神奈川区三枚町","1-1"
"2210075","神奈川県横浜市神奈川区白幡上町","1-1"
"2210071","神奈川県横浜市神奈川区白幡仲町","1-1"
"2210072","神奈川県横浜市神奈川区白幡東町","1-1"
"2210074","神奈川県横浜市神奈川区白幡西町","1-1"
"2210073","神奈川県横浜市神奈川区白幡南町","1-1"
"2210077","神奈川県横浜市神奈川区白幡向町","1-1"
"2208105","神奈川県横浜市西区みなとみらいランドマークタワー（５階）","1-1"
"2208106","神奈川県横浜市西区みなとみらいランドマークタワー（６階）","1-1"
