YUBIN_7,JYUSYO,JYUSYO2
"2410025","神奈川県横浜市旭区四季美台","1-1"
"2410806","神奈川県横浜市旭区下川井町","1-1"
"2410005","神奈川県横浜市旭区白根","1-1"
"2410003","神奈川県横浜市旭区白根町","1-1"
"2410823","神奈川県横浜市旭区善部町","1-1"
"2410805","神奈川県横浜市旭区都岡町","1-1"
"2410022","神奈川県横浜市旭区鶴ケ峰","1-1"
"2410021","神奈川県横浜市旭区鶴ケ峰本町","1-1"
"2410815","神奈川県横浜市旭区中尾","1-1"
"2410825","神奈川県横浜市旭区中希望が丘","1-1"
"2410814","神奈川県横浜市旭区中沢","1-1"
"2410004","神奈川県横浜市旭区中白根","1-1"
"2200046","神奈川県横浜市西区西戸部町","1-1"
"2200024","神奈川県横浜市西区西平沼町","1-1"
"2200052","神奈川県横浜市西区西前町","1-1"
"2200022","神奈川県横浜市西区花咲町（４～７丁目）","1-1"
"2200055","神奈川県横浜市西区浜松町","1-1"
"2200062","神奈川県横浜市西区東久保町","1-1"
"2200023","神奈川県横浜市西区平沼","1-1"
"2200053","神奈川県横浜市西区藤棚町","1-1"
"2200013","神奈川県横浜市西区緑町","1-1"
"2200012","神奈川県横浜市西区みなとみらい（次のビルを除く）","1-1"
"2206090","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（地階・階層不明）","1-1"
"2206001","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１階）","1-1"
"2310001","神奈川県横浜市中区新港","1-1"
"2310801","神奈川県横浜市中区新山下","1-1"
"2310046","神奈川県横浜市中区末広町","1-1"
"2310055","神奈川県横浜市中区末吉町","1-1"
"2310013","神奈川県横浜市中区住吉町","1-1"
"2310863","神奈川県横浜市中区諏訪町","1-1"
"2310837","神奈川県横浜市中区滝之上","1-1"
"2310847","神奈川県横浜市中区竹之丸","1-1"
"2310845","神奈川県横浜市中区立野","1-1"
"2310035","神奈川県横浜市中区千歳町","1-1"
"2310815","神奈川県横浜市中区千鳥町","1-1"
"2310033","神奈川県横浜市中区長者町","1-1"
"2310864","神奈川県横浜市中区千代崎町","1-1"
"2310857","神奈川県横浜市中区塚越","1-1"
"2310855","神奈川県横浜市中区寺久保","1-1"
"2310014","神奈川県横浜市中区常盤町","1-1"
"2360007","神奈川県横浜市金沢区白帆","1-1"
"2360028","神奈川県横浜市金沢区洲崎町","1-1"
"2360027","神奈川県横浜市金沢区瀬戸","1-1"
"2360035","神奈川県横浜市金沢区大道","1-1"
"2360044","神奈川県横浜市金沢区高舟台","1-1"
"2360021","神奈川県横浜市金沢区泥亀","1-1"
"2360014","神奈川県横浜市金沢区寺前","1-1"
"2360051","神奈川県横浜市金沢区富岡東","1-1"
"2360052","神奈川県横浜市金沢区富岡西","1-1"
"2360002","神奈川県横浜市金沢区鳥浜町","1-1"
"2360011","神奈川県横浜市金沢区長浜","1-1"
"2360005","神奈川県横浜市金沢区並木","1-1"
"2360017","神奈川県横浜市金沢区西柴","1-1"
"2360057","神奈川県横浜市金沢区能見台","1-1"
"2360053","神奈川県横浜市金沢区能見台通","1-1"
"2360058","神奈川県横浜市金沢区能見台東","1-1"
"2410012","神奈川県横浜市旭区西川島町","1-1"
"2410826","神奈川県横浜市旭区東希望が丘","1-1"
"2410821","神奈川県横浜市旭区二俣川","1-1"
"2410023","神奈川県横浜市旭区本宿町","1-1"
"2410024","神奈川県横浜市旭区本村町","1-1"
"2410836","神奈川県横浜市旭区万騎が原","1-1"
"2410824","神奈川県横浜市旭区南希望が丘","1-1"
"2410833","神奈川県横浜市旭区南本宿町","1-1"
"2410811","神奈川県横浜市旭区矢指町","1-1"
"2410801","神奈川県横浜市旭区若葉台","1-1"
"2260000","神奈川県横浜市緑区以下に掲載がない場合","1-1"
"2260022","神奈川県横浜市緑区青砥町","1-1"
"2260028","神奈川県横浜市緑区いぶき野","1-1"
"2260012","神奈川県横浜市緑区上山","1-1"
"2206002","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２階）","1-1"
"2206003","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３階）","1-1"
"2206004","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（４階）","1-1"
"2206005","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（５階）","1-1"
"2206006","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（６階）","1-1"
"2206007","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（７階）","1-1"
"2206008","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（８階）","1-1"
"2206009","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（９階）","1-1"
"2310814","神奈川県横浜市中区豊浦町","1-1"
"2310839","神奈川県横浜市中区仲尾台","1-1"
"2310812","神奈川県横浜市中区錦町","1-1"
"2310852","神奈川県横浜市中区西竹之丸","1-1"
"2310844","神奈川県横浜市中区西之谷町","1-1"
"2310021","神奈川県横浜市中区日本大通","1-1"
"2310854","神奈川県横浜市中区根岸旭台","1-1"
"2310835","神奈川県横浜市中区根岸加曽台","1-1"
"2310853","神奈川県横浜市中区根岸台","1-1"
"2310836","神奈川県横浜市中区根岸町","1-1"
"2310064","神奈川県横浜市中区野毛町","1-1"
"2310047","神奈川県横浜市中区羽衣町","1-1"
"2360056","神奈川県横浜市金沢区能見台森","1-1"
"2360025","神奈川県横浜市金沢区野島町","1-1"
"2360006","神奈川県横浜市金沢区八景島","1-1"
"2360033","神奈川県横浜市金沢区東朝比奈","1-1"
"2206010","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１０階）","1-1"
"2206011","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１１階）","1-1"
"2206012","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１２階）","1-1"
"2206013","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１３階）","1-1"
"2206014","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１４階）","1-1"
"2206015","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１５階）","1-1"
"2206016","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１６階）","1-1"
"2206017","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１７階）","1-1"
"2206018","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１８階）","1-1"
"2206019","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（１９階）","1-1"
"2206020","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２０階）","1-1"
"2310053","神奈川県横浜市中区初音町","1-1"
"2310063","神奈川県横浜市中区花咲町","1-1"
"2310052","神奈川県横浜市中区英町","1-1"
"2310031","神奈川県横浜市中区万代町","1-1"
"2310066","神奈川県横浜市中区日ノ出町","1-1"
"2310043","神奈川県横浜市中区福富町仲通","1-1"
"2310044","神奈川県横浜市中区福富町東通","1-1"
"2310042","神奈川県横浜市中区福富町西通","1-1"
"2310037","神奈川県横浜市中区富士見町","1-1"
"2310032","神奈川県横浜市中区不老町","1-1"
"2310007","神奈川県横浜市中区弁天通","1-1"
"2310048","神奈川県横浜市中区蓬莱町","1-1"
"2310843","神奈川県横浜市中区本郷町","1-1"
"2310005","神奈川県横浜市中区本町","1-1"
"2310826","神奈川県横浜市中区本牧荒井","1-1"
"2310823","神奈川県横浜市中区本牧大里町","1-1"
"2310824","神奈川県横浜市中区本牧三之谷","1-1"
"2360023","神奈川県横浜市金沢区平潟町","1-1"
"2360004","神奈川県横浜市金沢区福浦","1-1"
"2360054","神奈川県横浜市金沢区堀口","1-1"
"2360022","神奈川県横浜市金沢区町屋町","1-1"
"2360036","神奈川県横浜市金沢区みず木町","1-1"
"2360031","神奈川県横浜市金沢区六浦","1-1"
"2360032","神奈川県横浜市金沢区六浦町","1-1"
"2360037","神奈川県横浜市金沢区六浦東","1-1"
"2360038","神奈川県横浜市金沢区六浦南","1-1"
"2360016","神奈川県横浜市金沢区谷津町","1-1"
"2360026","神奈川県横浜市金沢区柳町","1-1"
"2220000","神奈川県横浜市港北区以下に掲載がない場合","1-1"
"2220037","神奈川県横浜市港北区大倉山","1-1"
"2220003","神奈川県横浜市港北区大曽根","1-1"
"2220004","神奈川県横浜市港北区大曽根台","1-1"
"2220011","神奈川県横浜市港北区菊名","1-1"
"2260003","神奈川県横浜市緑区鴨居","1-1"
"2260004","神奈川県横浜市緑区鴨居町","1-1"
"2260021","神奈川県横浜市緑区北八朔町","1-1"
"2260016","神奈川県横浜市緑区霧が丘","1-1"
"2260023","神奈川県横浜市緑区小山町","1-1"
"2260014","神奈川県横浜市緑区台村町","1-1"
"2260005","神奈川県横浜市緑区竹山","1-1"
"2260013","神奈川県横浜市緑区寺山町","1-1"
"2260025","神奈川県横浜市緑区十日市場町","1-1"
"2260011","神奈川県横浜市緑区中山町","1-1"
"2260027","神奈川県横浜市緑区長津田","1-1"
"2260026","神奈川県横浜市緑区長津田町","1-1"
"2260018","神奈川県横浜市緑区長津田みなみ台","1-1"
"2260017","神奈川県横浜市緑区新治町","1-1"
"2206021","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２１階）","1-1"
"2206022","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２２階）","1-1"
"2206023","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２３階）","1-1"
"2206024","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２４階）","1-1"
"2206025","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２５階）","1-1"
"2206026","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２６階）","1-1"
"2206027","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２７階）","1-1"
"2206028","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２８階）","1-1"
"2206029","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（２９階）","1-1"
"2206030","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３０階）","1-1"
"2206031","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３１階）","1-1"
"2310803","神奈川県横浜市中区本牧十二天","1-1"
"2310821","神奈川県横浜市中区本牧原","1-1"
"2310811","神奈川県横浜市中区本牧ふ頭","1-1"
"2310825","神奈川県横浜市中区本牧間門","1-1"
"2310833","神奈川県横浜市中区本牧満坂","1-1"
"2310832","神奈川県横浜市中区本牧緑ケ丘","1-1"
"2310804","神奈川県横浜市中区本牧宮原","1-1"
"2310822","神奈川県横浜市中区本牧元町","1-1"
"2310827","神奈川県横浜市中区本牧和田","1-1"
"2220034","神奈川県横浜市港北区岸根町","1-1"
"2230059","神奈川県横浜市港北区北新横浜","1-1"
"2220036","神奈川県横浜市港北区小机町","1-1"
"2220024","神奈川県横浜市港北区篠原台町","1-1"
"2220026","神奈川県横浜市港北区篠原町","1-1"
"2220025","神奈川県横浜市港北区篠原西町","1-1"
"2220022","神奈川県横浜市港北区篠原東","1-1"
"2220021","神奈川県横浜市港北区篠原北","1-1"
"2230064","神奈川県横浜市港北区下田町","1-1"
"2260024","神奈川県横浜市緑区西八朔町","1-1"
"2260006","神奈川県横浜市緑区白山","1-1"
"2260002","神奈川県横浜市緑区東本郷","1-1"
"2260001","神奈川県横浜市緑区東本郷町","1-1"
"2260015","神奈川県横浜市緑区三保町","1-1"
"2260029","神奈川県横浜市緑区森の台","1-1"
"2460000","神奈川県横浜市瀬谷区以下に掲載がない場合","1-1"
"2460013","神奈川県横浜市瀬谷区相沢","1-1"
"2460023","神奈川県横浜市瀬谷区阿久和東","1-1"
"2460025","神奈川県横浜市瀬谷区阿久和西","1-1"
"2460026","神奈川県横浜市瀬谷区阿久和南","1-1"
"2460012","神奈川県横浜市瀬谷区東野","1-1"
"2460011","神奈川県横浜市瀬谷区東野台","1-1"
"2460001","神奈川県横浜市瀬谷区卸本町","1-1"
"2460006","神奈川県横浜市瀬谷区上瀬谷町","1-1"
"2460036","神奈川県横浜市瀬谷区北新","1-1"
"2460002","神奈川県横浜市瀬谷区北町","1-1"
"2460008","神奈川県横浜市瀬谷区五貫目町","1-1"
"2460035","神奈川県横浜市瀬谷区下瀬谷","1-1"
"2206032","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３２階）","1-1"
"2206033","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３３階）","1-1"
"2206034","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３４階）","1-1"
"2206035","神奈川県横浜市西区みなとみらいクイーンズタワーＡ（３５階）","1-1"
"2206190","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（地階・階層不明）","1-1"
"2206101","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（１階）","1-1"
"2206102","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（２階）","1-1"
"2206103","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（３階）","1-1"
"2206104","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（４階）","1-1"
"2206105","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（５階）","1-1"
"2206106","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（６階）","1-1"
"2206107","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（７階）","1-1"
"2206108","神奈川県横浜市西区みなとみらいクイーンズタワーＢ（８階）","1-1"
"2450021","神奈川県横浜市泉区下和泉","1-1"
"2450005","神奈川県横浜市泉区白百合","1-1"
"2450009","神奈川県横浜市泉区新橋町","1-1"
"2450011","神奈川県横浜市泉区中田町","1-1"
"2450013","神奈川県横浜市泉区中田東","1-1"
"2450015","神奈川県横浜市泉区中田西","1-1"
"2450014","神奈川県横浜市泉区中田南","1-1"
"2450012","神奈川県横浜市泉区中田北","1-1"
"2450006","神奈川県横浜市泉区西が岡","1-1"
"2450008","神奈川県横浜市泉区弥生台","1-1"
"2450004","神奈川県横浜市泉区領家","1-1"
"2450002","神奈川県横浜市泉区緑園","1-1"
"2270000","神奈川県横浜市青葉区以下に掲載がない場合","1-1"
"2270062","神奈川県横浜市青葉区青葉台","1-1"
"2270066","神奈川県横浜市青葉区あかね台","1-1"
"2250011","神奈川県横浜市青葉区あざみ野","1-1"
"2250012","神奈川県横浜市青葉区あざみ野南","1-1"
"2250024","神奈川県横浜市青葉区市ケ尾町","1-1"
"2250002","神奈川県横浜市青葉区美しが丘","1-1"
"2250001","神奈川県横浜市青葉区美しが丘西","1-1"
"2270052","神奈川県横浜市青葉区梅が丘","1-1"
"2250005","神奈川県横浜市青葉区荏子田","1-1"
"2250013","神奈川県横浜市青葉区荏田町","1-1"
"2250014","神奈川県横浜市青葉区荏田西","1-1"
"2250015","神奈川県横浜市青葉区荏田北","1-1"
"2270063","神奈川県横浜市青葉区榎が丘","1-1"
"2250023","神奈川県横浜市青葉区大場町","1-1"
"2270065","神奈川県横浜市青葉区恩田町","1-1"
"2270048","神奈川県横浜市青葉区柿の木台","1-1"
"2270034","神奈川県横浜市青葉区桂台","1-1"
"2270041","神奈川県横浜市青葉区上谷本町","1-1"
"2270033","神奈川県横浜市青葉区鴨志田町","1-1"
"2250025","神奈川県横浜市青葉区鉄町","1-1"
"2250022","神奈川県横浜市青葉区黒須田","1-1"
"2270061","神奈川県横浜市青葉区桜台","1-1"
"2270053","神奈川県横浜市青葉区さつきが丘","1-1"
"2270031","神奈川県横浜市青葉区寺家町","1-1"
"2270042","神奈川県横浜市青葉区下谷本町","1-1"
"2270054","神奈川県横浜市青葉区しらとり台","1-1"
"2250003","神奈川県横浜市青葉区新石川","1-1"
"2250021","神奈川県横浜市青葉区すすき野","1-1"
"2270035","神奈川県横浜市青葉区すみよし台","1-1"
"2270046","神奈川県横浜市青葉区たちばな台","1-1"
"2270064","神奈川県横浜市青葉区田奈町","1-1"
"2270051","神奈川県横浜市青葉区千草台","1-1"
"2270055","神奈川県横浜市青葉区つつじが丘","1-1"
"2270038","神奈川県横浜市青葉区奈良","1-1"
"2270036","神奈川県横浜市青葉区奈良町","1-1"
"2270032","神奈川県横浜市青葉区成合町","1-1"
"2270043","神奈川県横浜市青葉区藤が丘","1-1"
"2270067","神奈川県横浜市青葉区松風台","1-1"
"2250016","神奈川県横浜市青葉区みすずが丘","1-1"
"2270047","神奈川県横浜市青葉区みたけ台","1-1"
"2270037","神奈川県横浜市青葉区緑山","1-1"
"2270044","神奈川県横浜市青葉区もえぎ野","1-1"
"2250004","神奈川県横浜市青葉区元石川町","1-1"
"2250026","神奈川県横浜市青葉区もみの木台","1-1"
"2270045","神奈川県横浜市青葉区若草台","1-1"
"2240000","神奈川県横浜市都筑区以下に掲載がない場合","1-1"
"2240016","神奈川県横浜市都筑区あゆみが丘","1-1"
"2240053","神奈川県横浜市都筑区池辺町","1-1"
"2240012","神奈川県横浜市都筑区牛久保","1-1"
"2240011","神奈川県横浜市都筑区牛久保町","1-1"
"2240014","神奈川県横浜市都筑区牛久保東","1-1"
"2240015","神奈川県横浜市都筑区牛久保西","1-1"
"2240004","神奈川県横浜市都筑区荏田東町","1-1"
"2240008","神奈川県横浜市都筑区荏田南町","1-1"
"2240006","神奈川県横浜市都筑区荏田東","1-1"
"2240007","神奈川県横浜市都筑区荏田南","1-1"
"2240042","神奈川県横浜市都筑区大熊町","1-1"
"2240028","神奈川県横浜市都筑区大棚西","1-1"
"2240027","神奈川県横浜市都筑区大棚町","1-1"
"2240061","神奈川県横浜市都筑区大丸","1-1"
"2240043","神奈川県横浜市都筑区折本町","1-1"
"2240055","神奈川県横浜市都筑区加賀原","1-1"
"2240034","神奈川県横浜市都筑区勝田町","1-1"
"2240036","神奈川県横浜市都筑区勝田南","1-1"
"2240044","神奈川県横浜市都筑区川向町","1-1"
"2240056","神奈川県横浜市都筑区川和台","1-1"
"2240057","神奈川県横浜市都筑区川和町","1-1"
"2240021","神奈川県横浜市都筑区北山田","1-1"
"2240062","神奈川県横浜市都筑区葛が谷","1-1"
"2240054","神奈川県横浜市都筑区佐江戸町","1-1"
"2240046","神奈川県横浜市都筑区桜並木","1-1"
"2240035","神奈川県横浜市都筑区新栄町","1-1"
"2240013","神奈川県横浜市都筑区すみれが丘","1-1"
"2240065","神奈川県横浜市都筑区高山","1-1"
"2240032","神奈川県横浜市都筑区茅ケ崎中央","1-1"
"2240031","神奈川県横浜市都筑区茅ケ崎町","1-1"
"2240033","神奈川県横浜市都筑区茅ケ崎東","1-1"
"2240037","神奈川県横浜市都筑区茅ケ崎南","1-1"
"2240001","神奈川県横浜市都筑区中川","1-1"
"2240003","神奈川県横浜市都筑区中川中央","1-1"
"2240041","神奈川県横浜市都筑区仲町台","1-1"
"2240063","神奈川県横浜市都筑区長坂","1-1"
"2240052","神奈川県横浜市都筑区二の丸","1-1"
"2240025","神奈川県横浜市都筑区早渕","1-1"
"2240045","神奈川県横浜市都筑区東方町","1-1"
"2240023","神奈川県横浜市都筑区東山田","1-1"
"2240024","神奈川県横浜市都筑区東山田町","1-1"
"2240064","神奈川県横浜市都筑区平台","1-1"
"2240051","神奈川県横浜市都筑区富士見が丘","1-1"
"2240029","神奈川県横浜市都筑区南山田","1-1"
"2240026","神奈川県横浜市都筑区南山田町","1-1"
"2240066","神奈川県横浜市都筑区見花山","1-1"
